id,name,category,value,count,description,is_active,rating
0,item_0,A,54.42925060159089,270,This is item number 0 in category B,true,4.7617019330373385
1,item_1,E,11.28600477354521,587,This is item number 1 in category A,false,3.5055076857183023
2,item_2,D,58.6135965755879,114,This is item number 2 in category E,true,1.4661003472021443
3,item_3,C,77.84287926811125,504,This is item number 3 in category B,true,4.008138593083247
4,item_4,C,91.04445485843593,42,This is item number 4 in category C,false,4.361216382991244
5,item_5,A,64.90313699952715,509,This is item number 5 in category B,false,1.888147572559475
6,item_6,B,76.09107440267677,804,This is item number 6 in category B,false,1.7115774188890227
7,item_7,B,12.18768323472289,97,This is item number 7 in category E,false,1.9816955243802403
8,item_8,D,54.485706861531646,959,This is item number 8 in category B,false,2.865248748174573
9,item_9,E,65.25679514620259,800,This is item number 9 in category A,false,3.250424243056516
10,item_10,E,45.487029395915194,740,This is item number 10 in category A,true,4.475971288614092
11,item_11,D,41.459618803310114,97,This is item number 11 in category B,false,3.6599644565881158
12,item_12,C,15.11107038826851,642,This is item number 12 in category B,true,4.419560542383115
13,item_13,D,75.51950114300126,413,This is item number 13 in category E,true,4.2858761897001925
14,item_14,C,6.988847953569655,540,This is item number 14 in category E,false,3.324377841116483
15,item_15,B,96.34722284482304,177,This is item number 15 in category E,true,4.653344154623046
16,item_16,A,90.40123901603387,328,This is item number 16 in category B,false,1.5554025475496456
17,item_17,C,34.71199594838227,196,This is item number 17 in category C,false,1.821314349951026
18,item_18,B,22.252559130829496,609,This is item number 18 in category E,true,4.325939318089594
19,item_19,D,74.40588316730268,546,This is item number 19 in category C,false,2.6332754676236805
20,item_20,E,57.745921169569726,668,This is item number 20 in category D,true,4.3235005082638365
21,item_21,C,31.46495943992349,288,This is item number 21 in category B,true,4.60929251011771
22,item_22,B,58.1945161697763,833,This is item number 22 in category E,false,2.837344014824291
23,item_23,D,55.99082580865775,883,This is item number 23 in category D,false,1.4868507181888981
24,item_24,B,3.8132042086127194,146,This is item number 24 in category D,true,1.0861991220762737
25,item_25,E,40.04868297463202,350,This is item number 25 in category B,true,2.050161152913301
26,item_26,D,58.50463302829178,281,This is item number 26 in category C,true,1.0920995748728348
27,item_27,D,34.80980140784236,761,This is item number 27 in category A,true,2.31427194363506
28,item_28,D,85.42882388329875,211,This is item number 28 in category C,true,3.430112035969761
29,item_29,B,50.38397841419175,915,This is item number 29 in category E,false,3.9722022600210822
30,item_30,C,32.927330195791136,932,This is item number 30 in category A,true,2.8114212959129925
31,item_31,A,50.53868509765201,140,This is item number 31 in category C,true,2.2365807150157844
32,item_32,A,1.5759885500280846,772,This is item number 32 in category E,true,1.1712601855664784
33,item_33,C,45.955915168827964,556,This is item number 33 in category E,false,2.5992775373888466
34,item_34,C,16.313923061419665,661,This is item number 34 in category D,false,4.348901642458463
35,item_35,D,27.489544179021095,133,This is item number 35 in category E,false,1.6151179655728187
36,item_36,B,44.82050229107691,16,This is item number 36 in category B,false,4.065984133007351
37,item_37,D,89.1823521816948,14,This is item number 37 in category E,false,1.4050104117580142
38,item_38,C,69.39708341934812,199,This is item number 38 in category B,true,1.129972186260979
39,item_39,C,33.343362566716614,194,This is item number 39 in category D,true,4.232879016672962
